NI VB-8012,,,,,
Configuration,,,,,
,Device,,,,,
,,Name,Serial Number,Firmware,,,
,,VB8012-306BD31,306BD31,16.1.0f0,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,Configuration,,,,,,,,Configuration,,,,,,,,,,
,Analog,,,,,,,,,,,Trigger,,,,,,,,,Acquisition,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Name,Alias,Channel Coupling,Bandwidth Limit,Input Impedance,Probe Attenuation,Volts Per Division,Vertical Offset (V),ΔT (ns),,,Type,Delay (s),Reason,Edge,Source,Level (V),Hysteresis,,,Mode,,,,Name,Measurement Mode,Measurement Range,Input Impedance,Null Offset,,,,Name,Direction,,,,,,,,,
,,1,1,AC,Full Bandwidth,1 MΩ,1X,200 mV/,-0.004115,5040.0000,,,Edge,00.014,Stopped,Rising,1,0.00,Minimum,,,Peak Detect,,,,DMM,DC Voltage,100 mV,Normal Impedance (10 MΩ),Off,,,,0,Input,,,,,,,,,,,
,,2,2,AC,Full Bandwidth,1 MΩ,1X,200 mV/,-0.008278,5040.0000,,,,,,,,,,,,,,,,,,,,,,,,1,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Input,,,,,,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,Data,,,,,,,,Data,,,,,,,,,,
,Analog,,,,,,,,,,,,,,,,,,,,,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Timestamps (ns),1 Min,1 Max,2 Min,2 Max,,,,,,,,,,,,,,,,,,,,DMM,,,,,,,,0,1,2,3,4,5,6,7,,,
,,11077920,-0.374485596707819,-0.358024691358025,-0.411475174381935,-0.395014269032141,,,,,,,,,,,,,,,,,,,,1.48454383022559E-05,,,,,,,,0,0,0,0,0,0,0,0,,,
,,11082960,-0.374485596707819,-0.349794238683128,-0.419705627056833,-0.403244721707038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11088000,-0.358024691358025,-0.34156378600823,-0.42793607973173,-0.411475174381935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11093040,-0.349794238683128,-0.333333333333333,-0.436166532406627,-0.419705627056833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11098080,-0.34156378600823,-0.325102880658436,-0.444396985081524,-0.42793607973173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11103120,-0.333333333333333,-0.316872427983539,-0.444396985081524,-0.436166532406627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11108160,-0.325102880658436,-0.308641975308642,-0.460857890431318,-0.444396985081524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11113200,-0.316872427983539,-0.300411522633745,-0.469088343106215,-0.444396985081524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11118240,-0.300411522633745,-0.283950617283951,-0.469088343106215,-0.452627437756421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11123280,-0.292181069958848,-0.275720164609053,-0.48554924845601,-0.460857890431318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11128320,-0.283950617283951,-0.267489711934156,-0.48554924845601,-0.469088343106215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11133360,-0.275720164609053,-0.259259259259259,-0.493779701130907,-0.477318795781112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11138400,-0.259259259259259,-0.242798353909465,-0.493779701130907,-0.477318795781112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11143440,-0.251028806584362,-0.234567901234568,-0.502010153805804,-0.48554924845601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11148480,-0.242798353909465,-0.218106995884774,-0.510240606480701,-0.493779701130907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11153520,-0.226337448559671,-0.209876543209877,-0.510240606480701,-0.493779701130907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11158560,-0.218106995884774,-0.193415637860082,-0.518471059155598,-0.502010153805804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11163600,-0.201646090534979,-0.185185185185185,-0.518471059155598,-0.502010153805804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11168640,-0.193415637860082,-0.176954732510288,-0.526701511830495,-0.510240606480701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11173680,-0.176954732510288,-0.160493827160494,-0.526701511830495,-0.510240606480701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11178720,-0.168724279835391,-0.152263374485597,-0.526701511830495,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11183760,-0.160493827160494,-0.135802469135802,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11188800,-0.1440329218107,-0.127572016460905,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11193840,-0.135802469135802,-0.111111111111111,-0.534931964505392,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11198880,-0.119341563786008,-0.0946502057613169,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11203920,-0.111111111111111,-0.0864197530864197,-0.534931964505392,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11208960,-0.0946502057613169,-0.0699588477366255,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11214000,-0.0781893004115226,-0.0617283950617284,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11219040,-0.0699588477366255,-0.0534979423868313,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11224080,-0.0534979423868313,-0.037037037037037,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11229120,-0.0452674897119342,-0.0205761316872428,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11234160,-0.0288065843621399,-0.0123456790123457,-0.543162417180289,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11239200,-0.0205761316872428,0.00411522633744857,-0.534931964505392,-0.526701511830495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11244240,-0.00411522633744855,0.0123456790123457,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11249280,0.00411522633744857,0.0288065843621399,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11254320,0.0205761316872428,0.037037037037037,-0.534931964505392,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11259360,0.0288065843621399,0.0534979423868313,-0.526701511830495,-0.518471059155598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
