NI VB-8012,,,,,
Configuration,,,,,
,Device,,,,,
,,Name,Serial Number,Firmware,,,
,,VB8012-306BD31,306BD31,16.1.0f0,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,Configuration,,,,,,,,Configuration,,,,,,,,,,
,Analog,,,,,,,,,,,Trigger,,,,,,,,,Acquisition,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Name,Alias,Channel Coupling,Bandwidth Limit,Input Impedance,Probe Attenuation,Volts Per Division,Vertical Offset (V),ΔT (ns),,,Type,Delay (s),Reason,Edge,Source,Level (V),Hysteresis,,,Mode,,,,Name,Measurement Mode,Measurement Range,Input Impedance,Null Offset,,,,Name,Direction,,,,,,,,,
,,1,1,AC,Full Bandwidth,1 MΩ,1X,200 mV/,-0.004115,5040.0000,,,Edge,00.014,Stopped,Rising,1,0.00,Minimum,,,Peak Detect,,,,DMM,DC Voltage,100 mV,Normal Impedance (10 MΩ),Off,,,,0,Input,,,,,,,,,,,
,,2,2,AC,Full Bandwidth,1 MΩ,1X,200 mV/,-0.008278,5040.0000,,,,,,,,,,,,,,,,,,,,,,,,1,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Input,,,,,,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,Data,,,,,,,,Data,,,,,,,,,,
,Analog,,,,,,,,,,,,,,,,,,,,,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Timestamps (ns),1 Min,1 Max,2 Min,2 Max,,,,,,,,,,,,,,,,,,,,DMM,,,,,,,,0,1,2,3,4,5,6,7,,,
,,11077920,-0.111111111111111,-0.0864197530864197,-0.0164134459868737,-0.00818299331197662,,,,,,,,,,,,,,,,,,,,1.45378634469407E-05,,,,,,,,0,0,0,0,0,0,0,0,,,
,,11082960,-0.127572016460905,-0.102880658436214,-0.0164134459868737,4.74593629204972E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11088000,-0.1440329218107,-0.119341563786008,-0.00818299331197662,0.00827791203781762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11093040,-0.152263374485597,-0.127572016460905,4.74593629204972E-05,0.0165083647127147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11098080,-0.168724279835391,-0.1440329218107,0.00827791203781762,0.0247388173876119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11103120,-0.176954732510288,-0.160493827160494,0.0165083647127147,0.032969270062509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11108160,-0.193415637860082,-0.176954732510288,0.0247388173876119,0.0411997227374061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11113200,-0.209876543209877,-0.185185185185185,0.032969270062509,0.0576606280872003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11118240,-0.226337448559671,-0.201646090534979,0.0494301754123032,0.0658910807620975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11123280,-0.234567901234568,-0.218106995884774,0.0576606280872003,0.0741215334369946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11128320,-0.251028806584362,-0.234567901234568,0.0741215334369946,0.0823519861118917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11133360,-0.267489711934156,-0.242798353909465,0.0741215334369946,0.0905824387867888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11138400,-0.275720164609053,-0.259259259259259,0.0823519861118917,0.0988128914616859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11143440,-0.292181069958848,-0.267489711934156,0.0905824387867888,0.0988128914616859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11148480,-0.300411522633745,-0.283950617283951,0.0988128914616859,0.107043344136583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11153520,-0.316872427983539,-0.292181069958848,0.0988128914616859,0.11527379681148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11158560,-0.325102880658436,-0.308641975308642,0.0988128914616859,0.11527379681148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11163600,-0.34156378600823,-0.316872427983539,0.107043344136583,0.123504249486377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11168640,-0.349794238683128,-0.333333333333333,0.11527379681148,0.123504249486377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11173680,-0.358024691358025,-0.34156378600823,0.11527379681148,0.131734702161274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11178720,-0.366255144032922,-0.349794238683128,0.123504249486377,0.139965154836172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11183760,-0.382716049382716,-0.358024691358025,0.131734702161274,0.139965154836172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11188800,-0.390946502057613,-0.374485596707819,0.131734702161274,0.148195607511069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11193840,-0.39917695473251,-0.382716049382716,0.139965154836172,0.156426060185966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11198880,-0.407407407407407,-0.390946502057613,0.139965154836172,0.156426060185966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11203920,-0.415637860082305,-0.39917695473251,0.148195607511069,0.164656512860863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11208960,-0.423868312757202,-0.407407407407407,0.156426060185966,0.17288696553576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11214000,-0.432098765432099,-0.415637860082305,0.156426060185966,0.17288696553576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11219040,-0.440329218106996,-0.423868312757202,0.164656512860863,0.181117418210657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11224080,-0.448559670781893,-0.432098765432099,0.164656512860863,0.181117418210657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11229120,-0.45679012345679,-0.440329218106996,0.17288696553576,0.189347870885554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11234160,-0.465020576131687,-0.448559670781893,0.181117418210657,0.189347870885554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11239200,-0.465020576131687,-0.448559670781893,0.181117418210657,0.197578323560451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11244240,-0.473251028806584,-0.45679012345679,0.189347870885554,0.197578323560451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11249280,-0.473251028806584,-0.465020576131687,0.189347870885554,0.205808776235348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11254320,-0.481481481481482,-0.465020576131687,0.197578323560451,0.205808776235348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11259360,-0.489711934156379,-0.473251028806584,0.197578323560451,0.214039228910246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11264400,-0.489711934156379,-0.481481481481482,0.197578323560451,0.214039228910246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
