Freq	Power
[Hz]	[dB]
0.000	-41.629
2.441	-44.638
4.883	-113.663
7.324	-103.383
9.766	-99.041
12.207	-100.730
14.648	-102.800
17.090	-106.989
19.531	-96.740
21.973	-91.784
24.414	-96.367
26.855	-103.671
29.297	-105.303
31.738	-108.699
34.180	-115.510
36.621	-113.973
39.062	-110.577
41.504	-104.124
43.945	-102.690
46.387	-104.096
48.828	-102.968
51.270	-103.983
53.711	-109.102
56.152	-101.632
58.594	-106.763
61.035	-111.368
63.477	-100.390
65.918	-97.026
68.359	-99.072
70.801	-107.113
73.242	-105.485
75.684	-101.521
78.125	-105.550
80.566	-105.316
83.008	-102.122
85.449	-105.833
87.891	-106.125
90.332	-116.052
92.773	-109.266
95.215	-97.778
97.656	-100.488
100.098	-102.939
102.539	-99.820
104.980	-97.084
107.422	-106.476
109.863	-116.807
112.305	-104.028
114.746	-109.578
117.187	-101.559
119.629	-97.300
122.070	-103.064
124.512	-99.773
126.953	-99.276
129.395	-108.778
131.836	-98.920
134.277	-102.653
136.719	-96.729
139.160	-96.820
141.602	-94.771
144.043	-95.143
146.484	-82.823
148.926	-82.107
151.367	-93.030
153.809	-90.135
156.250	-93.683
158.691	-88.243
161.133	-89.486
163.574	-86.624
166.016	-83.999
168.457	-82.859
170.898	-79.968
173.340	-78.759
175.781	-75.379
178.223	-73.118
180.664	-69.699
183.105	-66.220
185.547	-62.105
187.988	-57.118
190.430	-51.002
192.871	-42.833
195.312	-30.240
197.754	0.991
200.195	5.987
202.637	-1.100
205.078	-32.794
207.520	-44.347
209.961	-52.051
212.402	-58.077
214.844	-62.710
217.285	-66.901
219.727	-70.274
222.168	-73.363
224.609	-76.000
227.051	-78.834
229.492	-81.137
231.934	-81.988
234.375	-85.840
236.816	-84.865
239.258	-91.345
241.699	-88.630
244.141	-90.876
246.582	-92.378
249.023	-91.957
251.465	-94.187
253.906	-97.081
256.348	-96.357
258.789	-94.961
261.230	-96.738
263.672	-93.543
266.113	-98.623
268.555	-111.056
270.996	-101.105
273.437	-100.121
275.879	-102.703
278.320	-99.849
280.762	-105.890
283.203	-98.217
285.645	-110.751
288.086	-106.402
290.527	-103.667
292.969	-108.505
295.410	-105.128
297.852	-121.263
300.293	-105.897
302.734	-103.873
305.176	-100.494
307.617	-107.843
310.059	-108.946
312.500	-100.540
314.941	-106.041
317.383	-104.081
319.824	-104.990
322.266	-112.020
324.707	-99.128
327.148	-103.007
329.590	-103.873
332.031	-110.544
334.473	-109.662
336.914	-109.722
339.355	-106.127
341.797	-109.397
344.238	-100.714
346.680	-92.082
349.121	-95.095
351.562	-110.624
354.004	-108.734
356.445	-103.919
358.887	-109.171
361.328	-110.823
363.770	-99.403
366.211	-95.167
368.652	-100.003
371.094	-124.223
373.535	-102.490
375.977	-106.296
378.418	-113.008
380.859	-151.070
383.301	-119.963
385.742	-104.435
388.184	-108.133
390.625	-101.562
393.066	-98.393
395.508	-105.202
397.949	-89.820
400.391	-85.938
402.832	-95.552
405.273	-100.769
407.715	-101.780
410.156	-107.101
412.598	-105.764
415.039	-104.893
417.480	-101.041
419.922	-98.088
422.363	-100.643
424.805	-97.926
427.246	-109.130
429.687	-98.852
432.129	-92.767
434.570	-93.791
437.012	-108.313
439.453	-100.416
441.895	-101.572
444.336	-106.573
446.777	-124.203
449.219	-106.794
451.660	-103.009
454.102	-106.729
456.543	-115.950
458.984	-105.153
461.426	-99.860
463.867	-103.760
466.309	-104.617
468.750	-104.144
471.191	-108.509
473.633	-106.145
476.074	-102.295
478.516	-99.234
480.957	-98.958
483.398	-101.665
485.840	-105.214
488.281	-107.570
490.723	-108.125
493.164	-87.654
495.605	-84.074
498.047	-93.157
500.488	-102.512
502.930	-103.692
505.371	-99.552
507.812	-96.114
510.254	-97.875
512.695	-102.776
515.137	-108.956
517.578	-108.009
520.020	-102.450
522.461	-105.131
524.902	-105.047
527.344	-100.389
529.785	-102.453
532.227	-105.085
534.668	-103.976
537.109	-102.902
539.551	-107.420
541.992	-108.385
544.434	-90.523
546.875	-80.741
549.316	-83.520
551.758	-102.610
554.199	-102.348
556.641	-107.697
559.082	-111.859
561.523	-106.333
563.965	-100.944
566.406	-103.933
568.848	-101.342
571.289	-101.065
