Freq	Power
[Hz]	[dB]
0.000	-41.637
7.812	-44.613
15.625	-86.272
23.437	-87.241
31.250	-82.617
39.062	-80.819
46.875	-89.275
54.687	-78.283
62.500	-82.022
70.312	-77.150
78.125	-76.499
85.937	-74.761
93.750	-71.483
101.562	-73.938
109.375	-66.034
117.187	-67.297
125.000	-62.583
132.812	-60.703
140.625	-57.269
148.437	-53.015
156.250	-49.048
164.062	-43.767
171.875	-37.007
179.687	-27.871
187.500	-12.300
195.312	3.957
203.125	5.117
210.937	-6.926
218.750	-25.498
226.562	-35.467
234.375	-42.503
242.187	-48.027
250.000	-52.448
257.812	-56.496
265.625	-59.635
273.437	-62.379
281.250	-65.813
289.062	-66.777
296.875	-70.718
304.687	-71.490
312.500	-73.921
320.312	-76.073
328.125	-77.079
335.937	-78.035
343.750	-80.357
351.562	-79.709
359.375	-82.883
367.187	-79.705
375.000	-90.226
382.812	-82.745
390.625	-87.300
398.437	-83.459
406.250	-88.156
414.062	-83.675
421.875	-91.324
429.687	-90.899
437.500	-87.166
445.312	-82.705
453.125	-81.945
460.937	-86.427
468.750	-91.588
476.562	-87.738
484.375	-87.712
492.187	-86.684
