Freq	Power
[Hz]	[dB]
0.000	-36.497
0.488	-39.546
0.977	-68.272
1.465	-77.388
1.953	-90.546
2.441	-100.994
2.930	-91.569
3.418	-103.390
3.906	-90.604
4.395	-81.396
4.883	-78.009
5.371	-83.410
5.859	-89.031
6.348	-84.792
6.836	-90.042
7.324	-88.646
7.812	-86.235
8.301	-87.992
8.789	-81.279
9.277	-85.678
9.766	-93.094
10.254	-96.575
10.742	-87.959
11.230	-83.877
11.719	-84.905
12.207	-85.932
12.695	-84.127
13.184	-88.929
13.672	-98.536
14.160	-87.214
14.648	-78.864
15.137	-82.229
15.625	-87.916
16.113	-84.572
16.602	-92.373
17.090	-117.064
17.578	-103.031
18.066	-102.731
18.555	-88.493
19.043	-91.569
19.531	-87.632
20.020	-81.162
20.508	-83.544
20.996	-99.496
21.484	-87.923
21.973	-87.300
22.461	-86.408
22.949	-87.834
23.437	-88.407
23.926	-88.506
24.414	-78.147
24.902	-71.179
25.391	-76.336
25.879	-88.020
26.367	-96.819
26.855	-96.877
27.344	-92.217
27.832	-96.888
28.320	-92.029
28.809	-87.529
29.297	-96.349
29.785	-88.388
30.273	-85.855
30.762	-99.027
31.250	-92.650
31.738	-99.643
32.227	-89.448
32.715	-93.638
33.203	-89.343
33.691	-83.745
34.180	-94.452
34.668	-88.082
35.156	-84.321
35.645	-87.417
36.133	-86.970
36.621	-81.413
37.109	-73.471
37.598	-80.056
38.086	-85.451
38.574	-85.811
39.062	-93.135
39.551	-79.908
40.039	-82.986
40.527	-78.591
41.016	-76.094
41.504	-71.639
41.992	-69.100
42.480	-63.894
42.969	-57.837
43.457	-50.376
43.945	-39.320
44.434	-13.378
44.922	-5.178
45.410	-9.188
45.898	-34.179
46.387	-47.417
46.875	-55.856
47.363	-61.784
47.852	-67.241
48.340	-71.962
48.828	-72.782
49.316	-81.147
49.805	-78.605
50.293	-83.199
50.781	-90.006
51.270	-88.561
51.758	-84.047
52.246	-91.093
52.734	-94.316
53.223	-87.543
53.711	-84.846
54.199	-87.959
54.687	-76.899
55.176	-77.289
55.664	-107.368
56.152	-83.094
56.641	-87.569
57.129	-95.420
57.617	-87.217
58.105	-86.094
58.594	-90.418
59.082	-89.558
59.570	-79.530
60.059	-75.040
60.547	-81.180
61.035	-95.805
61.523	-87.389
62.012	-87.603
62.500	-98.575
62.988	-89.170
63.477	-93.574
63.965	-91.397
64.453	-73.838
64.941	-65.956
65.430	-68.829
65.918	-83.427
66.406	-93.113
66.895	-86.432
67.383	-84.523
67.871	-86.552
68.359	-92.630
68.848	-89.837
69.336	-88.253
69.824	-91.392
70.312	-88.251
70.801	-83.074
71.289	-82.336
71.777	-93.824
72.266	-87.566
72.754	-85.179
73.242	-86.418
73.730	-86.967
74.219	-94.250
74.707	-85.034
75.195	-78.438
75.684	-80.374
76.172	-88.991
76.660	-98.428
77.148	-84.682
77.637	-83.864
78.125	-87.883
78.613	-86.175
79.102	-83.529
79.590	-82.211
80.078	-89.483
80.566	-84.957
81.055	-80.306
81.543	-86.140
82.031	-99.045
82.520	-98.586
83.008	-84.668
83.496	-84.236
83.984	-97.230
84.473	-78.703
84.961	-78.297
85.449	-84.566
85.937	-82.667
86.426	-87.071
86.914	-91.530
87.402	-90.380
87.891	-108.781
88.379	-92.612
88.867	-95.781
89.355	-90.099
89.844	-83.042
90.332	-84.469
90.820	-93.581
91.309	-97.857
91.797	-93.648
92.285	-86.288
92.773	-83.632
93.262	-96.381
93.750	-89.052
94.238	-88.840
94.727	-77.712
95.215	-72.248
95.703	-76.499
96.191	-89.849
96.680	-95.468
97.168	-90.529
97.656	-95.089
98.145	-82.617
98.633	-83.996
99.121	-96.729
99.609	-93.283
100.098	-95.343
100.586	-101.111
101.074	-96.193
101.562	-90.683
102.051	-95.468
102.539	-94.141
103.027	-90.116
103.516	-88.180
104.004	-88.389
104.492	-78.238
104.980	-74.200
105.469	-80.503
105.957	-91.640
106.445	-82.772
106.934	-81.651
107.422	-79.047
107.910	-80.447
108.398	-84.881
108.887	-97.166
109.375	-98.053
109.863	-93.626
110.352	-97.450
110.840	-97.310
111.328	-90.876
111.816	-91.777
112.305	-89.747
112.793	-94.357
113.281	-90.989
113.770	-87.767
114.258	-81.014
114.746	-72.189
115.234	-72.571
115.723	-85.974
116.211	-90.543
116.699	-91.519
117.187	-97.512
117.676	-98.151
118.164	-91.193
118.652	-85.341
119.141	-85.007
119.629	-81.853
120.117	-71.660
120.605	-72.681
121.094	-83.967
121.582	-91.818
122.070	-92.454
122.559	-94.652
123.047	-85.806
123.535	-84.911
124.023	-90.809
124.512	-78.132
125.000	-81.861
125.488	-81.800
125.977	-88.107
126.465	-89.203
126.953	-86.549
127.441	-86.457
127.930	-93.140
128.418	-92.784
128.906	-92.885
129.395	-95.957
129.883	-110.497
130.371	-86.756
130.859	-91.046
131.348	-83.373
131.836	-78.826
132.324	-87.898
132.812	-71.083
133.301	-65.624
133.789	-56.189
134.277	-39.009
134.766	-25.438
135.254	-25.674
135.742	-40.044
136.230	-56.990
136.719	-66.228
137.207	-72.344
137.695	-78.633
138.184	-80.618
138.672	-82.722
139.160	-90.240
139.648	-89.337
140.137	-105.084
140.625	-88.045
141.113	-90.584
141.602	-92.810
142.090	-86.737
142.578	-91.343
143.066	-87.429
143.555	-83.730
144.043	-87.073
144.531	-77.526
145.020	-70.106
145.508	-73.335
145.996	-91.423
146.484	-87.943
146.973	-90.523
147.461	-92.327
147.949	-92.264
148.437	-91.980
148.926	-96.096
149.414	-82.687
149.902	-81.671
150.391	-89.009
150.879	-97.527
151.367	-91.666
151.855	-86.841
152.344	-88.502
152.832	-104.651
153.320	-100.541
153.809	-91.146
154.297	-96.107
154.785	-72.929
155.273	-72.165
155.762	-86.070
156.250	-91.153
156.738	-81.733
157.227	-80.904
157.715	-92.112
158.203	-89.978
158.691	-98.592
159.180	-85.996
159.668	-92.782
160.156	-88.417
160.645	-86.366
161.133	-90.568
161.621	-95.697
162.109	-85.263
162.598	-81.357
163.086	-82.285
163.574	-82.419
164.062	-82.857
164.551	-80.210
165.039	-78.524
165.527	-80.370
166.016	-81.477
166.504	-83.876
166.992	-84.339
167.480	-86.262
167.969	-83.262
168.457	-82.174
168.945	-83.337
169.434	-87.967
169.922	-82.305
170.410	-79.717
170.898	-86.080
171.387	-85.037
171.875	-90.776
172.363	-88.295
172.852	-83.059
173.340	-83.638
173.828	-80.707
174.316	-84.860
174.805	-80.683
175.293	-78.279
175.781	-82.761
176.270	-83.906
176.758	-84.252
177.246	-87.368
177.734	-84.019
178.223	-82.967
178.711	-87.431
179.199	-87.381
179.687	-72.686
180.176	-71.240
180.664	-79.755
181.152	-85.777
181.641	-95.303
182.129	-90.900
182.617	-93.723
183.105	-86.226
183.594	-86.251
184.082	-86.548
184.570	-101.409
185.059	-82.000
185.547	-82.448
186.035	-85.220
186.523	-85.983
187.012	-89.589
187.500	-90.708
187.988	-91.058
188.477	-87.703
188.965	-91.015
189.453	-94.822
189.941	-86.094
190.430	-85.034
190.918	-91.720
191.406	-98.209
191.895	-89.498
192.383	-89.290
192.871	-116.866
193.359	-102.284
193.848	-90.120
194.336	-82.353
194.824	-77.024
195.312	-80.741
195.801	-76.013
196.289	-74.808
196.777	-83.690
197.266	-88.935
197.754	-94.233
198.242	-94.687
198.730	-83.809
199.219	-84.034
199.707	-86.216
200.195	-88.576
200.684	-95.255
201.172	-85.478
201.660	-87.084
202.148	-90.347
202.637	-76.901
203.125	-78.235
203.613	-93.801
204.102	-84.895
204.590	-81.726
205.078	-79.836
205.566	-84.548
206.055	-88.146
206.543	-84.853
207.031	-86.406
207.520	-85.744
208.008	-85.259
208.496	-89.470
208.984	-92.522
209.473	-82.944
209.961	-84.931
210.449	-91.921
210.937	-87.834
211.426	-87.578
211.914	-90.327
212.402	-99.436
212.891	-95.601
213.379	-86.357
213.867	-92.764
214.355	-75.932
214.844	-65.112
215.332	-66.510
215.820	-80.805
216.309	-83.877
216.797	-94.449
217.285	-104.825
217.773	-89.101
218.262	-88.232
218.750	-89.173
219.238	-93.898
219.727	-87.650
220.215	-85.349
220.703	-89.336
221.191	-90.656
221.680	-83.853
222.168	-95.019
222.656	-83.845
223.145	-79.397
223.633	-75.271
224.121	-59.275
224.609	-36.705
225.098	-33.211
225.586	-42.033
226.074	-66.048
226.562	-77.568
227.051	-79.395
227.539	-87.962
228.027	-87.652
228.516	-93.213
229.004	-92.423
229.492	-89.320
229.980	-85.099
230.469	-85.757
230.957	-94.252
231.445	-91.752
231.934	-91.487
232.422	-90.941
232.910	-88.928
233.398	-91.218
233.887	-85.025
234.375	-79.055
234.863	-74.175
235.352	-79.167
235.840	-92.979
236.328	-89.565
236.816	-83.990
237.305	-83.211
237.793	-97.400
238.281	-86.847
238.770	-86.149
239.258	-85.344
239.746	-82.160
240.234	-83.764
240.723	-92.139
241.211	-80.073
241.699	-81.968
242.187	-90.770
242.676	-104.515
243.164	-98.143
243.652	-96.452
244.141	-99.345
244.629	-74.801
245.117	-71.166
245.605	-80.438
246.094	-91.844
246.582	-88.824
247.070	-93.578
247.559	-91.224
248.047	-90.326
248.535	-86.895
249.023	-91.380
249.512	-94.231
250.000	-85.413
250.488	-90.273
250.977	-87.827
251.465	-95.015
251.953	-91.693
252.441	-80.440
252.930	-76.462
253.418	-79.439
253.906	-94.665
254.395	-89.606
254.883	-81.006
255.371	-81.778
255.859	-89.600
256.348	-85.328
256.836	-87.813
257.324	-84.418
257.812	-84.873
258.301	-88.423
258.789	-87.391
259.277	-98.805
259.766	-91.147
260.254	-89.910
260.742	-85.097
261.230	-90.294
261.719	-98.797
262.207	-92.265
262.695	-87.525
263.184	-82.753
263.672	-83.061
264.160	-85.777
264.648	-90.027
265.137	-81.498
265.625	-86.159
266.113	-92.851
266.602	-97.587
267.090	-89.520
267.578	-91.213
268.066	-89.171
268.555	-86.991
269.043	-97.263
269.531	-84.543
270.020	-89.940
270.508	-89.115
270.996	-89.322
271.484	-86.237
271.973	-81.570
272.461	-82.564
272.949	-89.577
273.437	-90.770
273.926	-86.605
274.414	-78.787
274.902	-75.603
275.391	-79.831
275.879	-93.616
276.367	-91.724
276.855	-81.560
277.344	-79.831
277.832	-88.022
278.320	-88.337
278.809	-89.568
279.297	-87.062
279.785	-87.008
280.273	-84.986
280.762	-90.294
281.250	-100.333
281.738	-89.767
282.227	-91.563
282.715	-93.362
283.203	-92.265
283.691	-93.792
284.180	-83.109
284.668	-71.195
285.156	-71.653
285.645	-83.016
286.133	-88.938
286.621	-89.953
287.109	-88.594
287.598	-85.338
288.086	-86.090
288.574	-91.292
289.062	-91.168
289.551	-104.691
290.039	-87.542
290.527	-86.382
291.016	-82.646
291.504	-95.381
291.992	-85.149
292.480	-84.664
292.969	-95.734
293.457	-91.620
293.945	-97.856
294.434	-84.801
294.922	-76.473
295.410	-78.181
295.898	-87.155
296.387	-88.753
296.875	-87.080
297.363	-83.356
297.852	-90.283
298.340	-86.453
298.828	-84.102
299.316	-97.962
299.805	-76.786
300.293	-76.172
300.781	-87.089
301.270	-96.646
301.758	-87.857
302.246	-85.930
302.734	-95.591
303.223	-103.556
303.711	-94.814
304.199	-93.404
304.687	-84.844
305.176	-80.373
305.664	-83.645
306.152	-91.076
306.641	-88.244
307.129	-88.204
307.617	-98.833
308.105	-88.850
308.594	-101.072
309.082	-87.264
309.570	-84.175
310.059	-90.003
310.547	-87.906
311.035	-100.571
311.523	-98.199
312.012	-104.905
312.500	-90.919
312.988	-93.514
313.477	-88.217
313.965	-73.994
314.453	-46.575
314.941	-38.926
315.430	-43.435
315.918	-71.578
316.406	-74.525
316.895	-84.351
317.383	-80.841
317.871	-92.583
318.359	-85.751
318.848	-80.881
319.336	-81.157
319.824	-84.834
320.312	-83.729
320.801	-86.236
321.289	-98.655
321.777	-94.252
322.266	-86.124
322.754	-78.728
323.242	-83.784
323.730	-90.930
324.219	-87.762
324.707	-84.284
325.195	-78.579
325.684	-82.888
326.172	-93.309
326.660	-83.508
327.148	-86.279
327.637	-104.611
328.125	-92.381
328.613	-94.709
329.102	-87.144
329.590	-87.435
330.078	-99.239
330.566	-82.890
331.055	-86.936
331.543	-90.561
332.031	-92.861
332.520	-87.113
333.008	-90.912
333.496	-88.701
333.984	-87.494
334.473	-73.103
334.961	-66.948
335.449	-72.974
335.937	-86.457
336.426	-87.470
336.914	-95.006
337.402	-88.634
337.891	-95.258
338.379	-92.198
338.867	-88.783
339.355	-98.034
339.844	-86.193
340.332	-91.527
340.820	-86.752
341.309	-85.827
341.797	-87.271
342.285	-87.226
342.773	-91.627
343.262	-95.806
343.750	-90.279
344.238	-98.110
344.727	-81.288
345.215	-81.166
345.703	-92.061
346.191	-96.174
346.680	-100.124
347.168	-85.243
347.656	-84.138
348.145	-96.399
348.633	-104.517
349.121	-86.863
349.609	-83.397
350.098	-92.656
350.586	-87.883
351.074	-93.281
351.562	-100.911
352.051	-85.413
352.539	-84.798
353.027	-87.408
353.516	-97.148
354.004	-90.668
354.492	-83.081
354.980	-81.296
355.469	-82.334
355.957	-93.824
356.445	-87.489
356.934	-90.781
357.422	-89.292
357.910	-96.380
358.398	-84.777
358.887	-81.463
359.375	-77.519
359.863	-77.793
360.352	-66.081
360.840	-62.325
361.328	-68.618
361.816	-87.988
362.305	-88.030
362.793	-99.169
363.281	-101.623
363.770	-86.419
364.258	-83.623
364.746	-67.511
365.234	-68.065
365.723	-83.299
366.211	-96.201
366.699	-90.522
367.187	-92.596
367.676	-90.609
368.164	-84.898
368.652	-89.001
369.141	-92.070
369.629	-88.743
370.117	-81.342
370.605	-82.617
371.094	-87.145
371.582	-86.044
372.070	-82.479
372.559	-80.089
373.047	-83.345
373.535	-87.176
374.023	-83.674
374.512	-79.023
375.000	-76.379
375.488	-84.629
375.977	-85.609
376.465	-88.956
376.953	-94.625
377.441	-95.548
377.930	-97.538
378.418	-99.942
378.906	-92.644
379.395	-92.538
379.883	-93.278
380.371	-90.322
380.859	-89.409
381.348	-99.203
381.836	-92.187
382.324	-91.739
382.812	-87.886
383.301	-88.829
383.789	-90.807
384.277	-86.533
384.766	-72.283
385.254	-72.944
385.742	-90.005
386.230	-93.831
386.719	-98.286
387.207	-96.185
387.695	-94.439
388.184	-92.116
388.672	-92.059
389.160	-86.711
389.648	-87.258
390.137	-88.192
390.625	-83.581
391.113	-85.655
391.602	-93.270
392.090	-81.219
392.578	-81.863
393.066	-95.695
393.555	-92.124
394.043	-98.519
394.531	-84.049
395.020	-81.586
395.508	-86.690
395.996	-80.722
396.484	-84.389
396.973	-84.153
397.461	-89.477
397.949	-98.338
398.437	-87.281
398.926	-86.718
399.414	-104.549
399.902	-102.969
400.391	-95.574
400.879	-96.555
401.367	-90.468
401.855	-92.974
402.344	-90.768
402.832	-82.897
403.320	-80.351
403.809	-75.016
404.297	-56.619
404.785	-44.109
405.273	-44.911
405.762	-60.258
406.250	-77.202
406.738	-80.531
407.227	-95.689
407.715	-91.593
408.203	-87.509
408.691	-92.681
409.180	-94.278
409.668	-97.722
410.156	-85.068
410.645	-85.247
411.133	-86.801
411.621	-93.634
412.109	-89.391
412.598	-90.866
413.086	-92.372
413.574	-90.601
414.062	-88.487
414.551	-80.331
415.039	-76.708
415.527	-82.298
416.016	-91.949
416.504	-97.325
416.992	-89.460
417.480	-83.672
