Freq	Power
[Hz]	[dB]
0.000	-41.510
78.125	-44.630
156.250	-89.245
234.375	-76.841
312.500	-84.777
390.625	-82.727
468.750	-77.055
546.875	-81.446
625.000	-80.563
703.125	-75.865
781.250	-77.785
859.375	-71.038
937.500	-76.404
1015.625	-68.955
1093.750	-67.401
1171.875	-66.245
1250.000	-64.176
1328.125	-59.233
1406.250	-57.618
1484.375	-53.034
1562.500	-49.157
1640.625	-43.602
1718.750	-37.056
1796.875	-27.853
1875.000	-12.293
1953.125	3.964
2031.250	5.123
2109.375	-6.920
2187.500	-25.505
2265.625	-35.461
2343.750	-42.429
2421.875	-48.080
2500.000	-52.415
2578.125	-56.606
2656.250	-59.249
2734.375	-62.970
2812.500	-65.684
2890.625	-66.798
2968.750	-69.504
3046.875	-74.654
3125.000	-72.412
3203.125	-75.075
3281.250	-75.815
3359.375	-85.451
3437.500	-75.516
3515.625	-83.012
3593.750	-76.183
3671.875	-78.084
3750.000	-81.119
3828.125	-87.759
3906.250	-81.430
3984.375	-83.420
4062.500	-81.311
4140.625	-85.815
4218.750	-91.257
4296.875	-85.676
4375.000	-82.209
4453.125	-91.745
4531.250	-90.974
4609.375	-84.805
4687.500	-104.227
4765.625	-83.843
4843.750	-86.272
4921.875	-96.433
